,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
59838,1401898,1,0,1.06,14,0.91,0,58.0,5.4,0,0
33354,783318,1,0,1.96,30,0.0,0,65.1,4.9,0,1
57628,1349806,1,1,1.22,29,1.81,1,56.8,3.5,0,0
55507,1299491,1,0,1.5,18,0.4,2,70.5,10.2,0,0
2141,49556,0,0,1.91,12,,0,0.0,0.0,0,1
5491,126260,1,0,7.79,25,0.02,1,20.7,1.3,0,0
25495,598153,1,0,0.05,0,,1,0.0,0.0,0,1
45214,1059607,0,0,2.72,24,,1,3.3,0.4,0,0
34824,818074,1,1,4.02,17,1.95,0,90.8,6.4,0,0
9055,210100,1,0,5.16,22,0.0,0,128.7,11.6,0,1
32416,760773,1,0,2.37,32,,0,107.4,60.8,0,1
63695,1493105,1,1,0.75,15,1.22,0,21.3,1.6,0,0
21122,493966,0,0,0.57,10,0.0,3,0.0,0.0,0,1
56000,1310762,1,0,1.43,13,0.53,0,40.7,3.4,0,0
13271,308764,0,0,1.25,17,0.0,0,0.0,0.0,0,1
50735,1189237,1,0,2.05,13,1.88,0,31.1,2.7,0,0
22727,532944,1,0,2.76,24,,0,12.8,0.7,0,1
64745,1518100,1,1,0.65,21,0.22,0,25.5,4.5,0,0
49651,1165555,1,1,2.82,16,1.09,0,94.6,6.0,0,1
30793,721939,1,0,4.68,25,0.11,0,83.0,4.2,0,0
11635,271314,1,0,6.57,28,,0,182.0,17.7,0,1
6490,149833,1,1,7.81,22,,0,25.0,1.1,0,1
46360,1086376,1,1,2.57,10,1.34,0,62.2,3.6,0,0
51196,1200776,1,0,0.86,22,0.0,0,56.8,2.4,0,1
54653,1280355,1,0,1.61,22,0.0,0,6.6,1.0,0,0
33414,784504,1,0,4.68,36,,0,30.5,2.4,0,1
63484,1488176,1,1,0.77,15,1.21,0,53.3,4.4,0,0
30477,714576,1,1,4.73,21,0.22,1,69.1,3.7,0,0
38732,908355,0,0,0.99,26,,0,53.4,4.5,0,1
2473,57445,1,0,8.54,21,0.34,0,75.2,6.1,0,0
51349,1204100,1,0,0.54,20,0.0,0,66.2,3.6,0,1
72149,1686949,1,1,0.09,15,1.88,2,72.0,4.6,0,1
29962,702398,1,1,4.82,10,1.1,0,17.9,1.2,0,0
10503,245396,0,0,0.62,22,0.0,0,0.0,0.0,2,1
11200,261816,1,1,6.92,25,0.35,1,103.6,8.0,0,0
58556,1371920,0,0,0.96,25,0.0,0,34.1,5.1,0,1
3969,90937,0,0,3.38,0,,0,0.0,0.0,0,1
59508,1393868,1,0,1.08,22,0.89,0,36.3,2.4,0,0
25223,591555,0,0,0.76,13,0.0,0,0.0,0.0,0,1
13821,321602,1,1,2.16,23,,1,6.2,0.5,0,1
14401,334991,0,0,0.16,14,0.0,0,0.0,0.0,0,1
18948,443436,1,0,2.08,22,,0,15.7,1.0,0,1
