,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
24466,573758,1,1,5.75,15,1.32,0,45.1,7.9,0,0
45438,1065583,1,1,2.69,21,1.5,0,0.2,0.0,0,0
63208,1482060,1,1,0.79,28,1.43,5,131.6,9.2,0,0
37070,869081,1,1,3.69,20,0.19,0,103.5,10.7,0,0
305,6861,0,0,10.09,20,,0,0.0,0.0,0,1
64749,1518142,1,0,0.65,14,1.32,0,38.5,3.4,0,0
59290,1389250,1,0,1.09,22,0.88,0,28.6,2.2,0,0
17972,420025,1,0,0.94,18,0.0,0,0.0,0.0,0,1
1728,40187,0,0,2.12,14,,0,0.0,0.0,0,1
17277,403948,1,1,6.66,17,1.67,0,91.8,6.3,0,1
36740,861497,1,0,0.19,10,0.0,0,15.9,0.6,0,1
11644,271612,1,0,0.34,5,1.63,0,0.0,0.0,0,1
44285,1037497,1,0,2.84,20,1.1,0,156.6,6.8,0,0
52692,1235345,1,0,1.33,21,0.0,0,53.5,4.0,0,1
67040,1569709,1,0,0.4,26,1.03,0,34.3,3.0,0,0
38392,900286,0,0,0.85,26,0.0,1,34.7,3.8,0,1
56593,1323631,1,0,1.36,11,0.58,0,59.5,7.0,0,0
26959,631641,1,1,1.59,13,0.0,4,81.2,4.1,0,1
46185,1082492,1,0,1.88,22,0.0,0,127.5,12.1,0,1
4492,102551,1,1,3.73,40,,0,10.8,0.9,0,1
60730,1423940,0,0,0.99,25,,0,101.5,8.0,0,0
59464,1392890,1,0,0.36,13,0.0,0,36.9,3.6,0,1
40359,944627,1,1,2.79,23,0.0,0,2.2,0.1,0,1
58566,1372084,1,1,1.13,24,0.84,0,31.2,0.8,0,0
63679,1492815,1,1,0.75,15,1.22,1,33.0,2.3,0,0
29738,697153,1,0,2.79,27,,0,56.3,3.0,0,1
27992,656230,0,0,0.98,19,,0,8.8,0.7,0,1
59163,1386486,1,1,1.1,11,1.8,0,38.2,3.1,0,0
